Table 1;
ID;Name
21;Booty Bay
47;Ironforge
54;Gnomeregan Exiles
59;Thorium Brotherhood
67;Horde
68;Undercity
69;Darnassus
70;Syndicate
72;Stormwind
76;Orgrimmar
81;Thunder Bluff
92;Gelkis Clan Centaur
93;Magram Clan Centaur
169;Steamwheedle Cartel
270;Zandalar Tribe
349;Ravenholdt
369;Gadgetzan
469;Alliance
470;Ratchet
471;Wildhammer Clan
509;The League of Arathor
510;The Defilers
529;Argent Dawn
530;Darkspear Trolls
576;Timbermaw Hold
577;Everlook
589;Wintersaber Trainers
609;Cenarion Circle
729;Frostwolf Clan
730;Stormpike Guard
749;Hydraxian Waterlords
809;Shendralar
889;Warsong Outriders
890;Silverwing Sentinels
891;Alliance Forces
892;Horde Forces
909;Darkmoon Faire
910;Brood of Nozdormu
911;Silvermoon City
922;Tranquillien
930;Exodar
932;The Aldor
933;The Consortium
934;The Scryers
935;The Shatar
936;Shattrath City
941;The Maghar
942;Cenarion Expedition
946;Honor Hold
947;Thrallmar
948;Test Faction 2
949;Test Faction 1
952;Test Faction 3
967;The Violet Eye
970;Sporeggar
978;Kurenai
980;The Burning Crusade
989;Keepers of Time
990;The Scale of the Sands
1011;Lower City
1012;Ashtongue Deathsworn
1015;Netherwing
1031;Shatari Skyguard
1037;Alliance Vanguard
1038;Ogrila
1050;Valiance Expedition
1052;Horde Expedition
1064;The Taunka
1067;The Hand of Vengeance
1068;Explorers League
1073;The Kaluak
1077;Shattered Sun Offensive
1085;Warsong Offensive
1090;Kirin Tor
1091;The Wyrmrest Accord
1094;The Silver Covenant
1097;Wrath of the Lich King
1098;Knights of the Ebon Blade
1104;Frenzyheart Tribe
1105;The Oracles
1106;Argent Crusade
1117;Sholazar Basin
1118;Classic
1119;The Sons of Hodir
1124;The Sunreavers
1126;The Frostborn
1156;The Ashen Verdict
