Column 1,Spell.txt Column 137,Index,Spell.txt Column 209
long,str,1,class
27,Improved Fire Blast,1,3
1141,Incineration,1,3
26,Improved Fireball,1,3
34,Ignite,1,3
2212,Burning Determination,1,3
31,World in Flames,1,3
28,Flame Throwing,1,3
30,Impact,1,3
29,Pyroblast,1,3
23,Burning Soul,1,3
25,Improved Scorch,1,3
24,Molten Shields,1,3
1639,Master of Elements,1,3
1730,Playing with Fire,1,3
33,Critical Mass,1,3
32,Blast Wave,1,3
1731,Blazing Speed,1,3
35,Fire Power,1,3
1733,Pyromaniac,1,3
36,Combustion,1,3
1732,Molten Fury,1,3
1848,Fiery Payback,1,0
1734,Empowered Fire,1,3
1849,Firestarter,1,3
1735,Dragon's Breath,1,3
1850,Hot Streak,1,3
1851,Burnout,1,3
1852,Living Bomb,1,3
38,Frostbite,1,3
37,Improved Frostbolt,1,3
62,Ice Floes,1,3
73,Ice Shards,1,3
70,Frost Warding,1,3
1649,Precision,1,3
65,Permafrost,1,3
61,Piercing Ice,1,3
69,Icy Veins,1,3
63,Improved Blizzard,1,3
741,Arctic Reach,1,3
66,Frost Channeling,1,3
67,Shatter,1,3
72,Cold Snap,1,3
64,Improved Cone of Cold,1,3
1736,Frozen Core,1,3
1737,Cold as Ice,1,3
68,Winter's Chill,1,3
2214,Shattered Barrier,1,3
71,Ice Barrier,1,3
1738,Arctic Winds,1,3
1740,Empowered Frostbolt,1,3
1853,Fingers of Frost,1,3
1854,Brain Freeze,1,3
1741,Summon Water Elemental,1,3
1855,Enduring Winter,1,3
1856,Chilled to the Bone,1,3
1857,Deep Freeze,1,3
74,Arcane Subtlety,1,3
76,Arcane Focus,1,3
80,Arcane Stability,1,3
85,Arcane Fortitude,1,0
1650,Magic Absorption,1,3
75,Arcane Concentration,1,3
82,Magic Attunement,1,3
81,Spell Impact,1,3
1845,Student of the Mind,1,0
2211,Focus Magic,1,3
83,Arcane Shielding,1,3
88,Improved Counterspell,1,3
1142,Arcane Meditation,1,0
2222,Torment the Weak,1,0
1724,Improved Blink,1,3
86,Presence of Mind,1,3
77,Arcane Mind,1,0
1726,Prismatic Cloak,1,3
421,Arcane Instability,1,3
1725,Arcane Potency,1,3
1727,Arcane Empowerment,1,3
87,Arcane Power,1,3
1844,Incanter's Absorption,1,0
1843,Arcane Flows,1,3
1728,Mind Mastery,1,3
1729,Slow,1,3
2209,Missile Barrage,1,3
1846,Netherwind Presence,1,3
1826,Spell Power,1,3
1847,Arcane Barrage,1,3
124,Improved Heroic Strike,1,4
130,Deflection,1,0
127,Improved Rend,1,4
126,Improved Charge,1,4
641,Iron Will,1,0
128,Tactical Mastery,1,4
131,Improved Overpower,1,4
137,Anger Management,1,0
662,Impale,1,4
121,Deep Wounds,1,4
136,Two-Handed Weapon Specialization,1,0
2232,Taste for Blood,1,4
132,Poleaxe Specialization,1,0
133,Sweeping Strikes,1,4
125,Mace Specialization,1,0
123,Sword Specialization,1,0
134,Weapon Mastery,1,4
129,Improved Hamstring,1,4
1859,Trauma,1,0
1663,Second Wind,1,4
135,Mortal Strike,1,4
1862,Strength of Arms,1,0
2233,Improved Slam,1,4
2283,Juggernaut,1,4
1824,Improved Mortal Strike,1,4
1860,Unrelenting Assault,1,4
1662,Sudden Death,1,0
1661,Endless Rage,1,4
1664,Blood Frenzy,1,4
2231,Wrecking Crew,1,0
1863,Bladestorm,1,4
142,Improved Bloodrage,1,4
1601,Shield Specialization,1,4
141,Improved Thunder Clap,1,4
144,Incite,1,4
138,Anticipation,1,0
153,Last Stand,1,4
147,Improved Revenge,1,4
1654,Shield Mastery,1,4
140,Toughness,1,4
2247,Improved Spell Reflection,1,4
151,Improved Disarm,1,4
146,Puncture,1,4
150,Improved Disciplines,1,4
152,Concussion Blow,1,4
149,Gag Order,1,4
702,One-Handed Weapon Specialization,1,0
1652,Improved Defensive Stance,1,0
148,Vigilance,1,0
1660,Focused Rage,1,4
1653,Vitality,1,0
1870,Safeguard,1,4
2236,Warbringer,1,4
1666,Devastate,1,4
1893,Critical Block,1,4
1871,Sword and Board,1,4
2246,Damage Shield,1,4
1872,Shockwave,1,4
2250,Armored to the Teeth,1,4
158,Booming Voice,1,4
157,Cruelty,1,0
161,Improved Demoralizing Shout,1,4
159,Unbridled Wrath,1,0
166,Improved Cleave,1,4
160,Piercing Howl,1,4
661,Blood Craze,1,0
154,Commanding Presence,1,4
1581,Dual Wield Specialization,1,4
1542,Improved Execute,1,4
155,Enrage,1,4
1657,Precision,1,0
165,Death Wish,1,4
1543,Improved Intercept,1,4
1541,Improved Berserker Rage,1,4
156,Flurry,1,0
1864,Intensify Rage,1,4
167,Bloodthirst,1,4
