long,long,long,long,flags,flags,flags,flags,flags,flags,flags,flags,flags,None,flags,None,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,flags,long,flags,long,flags,long,long,long,long,long,long,long,long,None,long,float,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,flags,flags,long,long,long,long,long,long,float,float,float,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,float,float,float,flags,long,long,long,flags,flags,long,long,long,long,long,long,long,long,long,float,flags,float,flags,flags,flags,flags,flags,flags,flags,flags,flags,long,long,long,long,long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,long,long,long,long,flags,flags,flags,long,long,long,long,float,float,float,long,long,long,long,long,long,long,long,long,long,float,float,float,long,long
724,1145,0,0,0x10000,0x20000,0x80000,0x0,0x0,0x0,0x0,0x0,0x80000000,,0x8000000,,64,0,0,0,0,0,0,0,0,0,0,0,3,0,180000,15,0x0,0,0x0,101,0x0,46,40,40,25,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0,0,0,0x0,0x0,31897,0,0,1141,0,0,0,0,0,0,0x0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,7550,0,1878,0,0,"Lightwell",,,,,,,,,,,,,,,,0xFF01FE,"Rank 1",,,,,,,,,,,,,,,,0xFF01FE,"Creates a Holy Lightwell.  Friendly players can click the Lightwell to restore ${$7001m1*3*$<mult>} health over $7001d.  Attacks done to you equal to 30% of your total health will cancel the effect. Lightwell lasts for $d or 10 charges.",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,17,133,1500,0,6,0x40000000,0x0,0x0,0,0,1,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,162,0
974,1195,1,0,0x50000,0x0,0x0,0x0,0x80000,0x20,0x4000000,0x40000400,0x0,,0x0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0x80000,0,0x2A2A8,100,0x6,59,50,50,6,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,6,6,0,1,1,0,0,0,0,149,29,0,0,0,0,21,21,0,0,0,0,0,0,0,4,149,0,0,0,0,0,0,0,0x0,0,0,0,0x0,0x0,0,126,0,0,0,0,0,0,0,0,0x0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,7362,0,2015,0,0,"Earth Shield",,,,,,,,,,,,,,,,0xFF01FE,"Rank 1",,,,,,,,,,,,,,,,0xFF01FE,"Protects the target with an earthen shield, reducing casting or channeling time lost when damaged by $s2%  and causing attacks to heal the shielded target for $<heal>.  This effect can only occur once every few seconds.  $n charges.  Lasts $d.  Earth Shield can only be placed on one target at a time and only one Elemental Shield can be active on a target at a time.",,,,,,,,,,,,,,,,0xFF01FE,"Reduces casting or channeling time lost when damaged by $s2% and attacks heal the shielded target for $s1.",,,,,,,,,,,,,,,,0xFF01FE,15,133,1500,0,11,0x0,0x400,0x0,0,1,1,0,1,1,1,0,0,0,0,0,0,8,0,0,0,1,0,1,170,0
1329,0,0,0,0x50010,0x8000200,0x100000,0x1010400,0x0,0x0,0x0,0x0,0x0,,0x0,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0x0,0,0x0,101,0x0,0,40,40,0,3,60,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0x8000,0x0,80,64,64,1,0,0,0,0,0,1,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0,0,0,0x0,0x0,0,0,0,0,0,0,0,5374,27576,0,0x0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,7913,0,2117,0,0,"Mutilate",,,,,,,,,,,,,,,,0xFF01FE,"Rank 1",,,,,,,,,,,,,,,,0xFF01FE,"Instantly attacks with both weapons for $<percent>% weapon damage plus an additional $5374s1 with each weapon.  Damage is increased by 20% against Poisoned targets.  Awards 2 combo points.",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,133,1000,0,8,0x0,0x200000,0x0,0,2,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,172,0
3674,1250,1,0,0x10002,0x0,0x20000,0x0,0x800,0x0,0x0,0x0,0x0,,0x0,,0,0,0,1,0,0,0,0,0,0,0,0,18,0,30000,0,0x0,0,0x0,101,0x0,0,50,50,8,0,0,0,0,,114,40,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0x4000C,0x0,6,6,0,1,1,1,0,0,0,156,5,-1,0,0,0,6,6,0,0,0,0,0,0,0,3,271,0,3000,0,0,0,0,0,0x0,0,0,0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0x0,0,0x0,0x0,0x0,0x37801,0x80800101,0x3C1,0x0,0x0,0x0,3222,0,1939,0,0,"Black Arrow",,,,,,,,,,,,,,,,0xFF01FE,"Rank 1",,,,,,,,,,,,,,,,0xFF01FE,"Fires a Black Arrow at the target, increasing all damage done by you to the target by $s2% and dealing ${$RAP*0.1+$m1*5} Shadow damage over $d. Black Arrow shares a cooldown with Trap spells.",,,,,,,,,,,,,,,,0xFF01FE,"All damage taken increased by $s2%, and $s1 Shadow damage every $t1 seconds.",,,,,,,,,,,,,,,,0xFF01FE,6,133,1500,0,9,0x80,0x8000000,0x0,0,3,2,0,1,1,1,0,0,0,0,0,0,32,0,0,0,0,0.100000001490116,0,0,0
5570,0,1,0,0x10000,0x0,0x80000,0x0,0x0,0x0,0x800000,0x0,0x40000000,,0x2,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0x0,0,0x0,101,0x0,29,20,20,29,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,6,6,0,1,1,1,0,0,0,23,-4,-1,0,0,0,6,6,0,0,0,0,0,0,0,3,54,0,2000,0,0,0,0,0,0x0,0,0,0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0x0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x700307,0x1800204,0x0,7333,0,1771,0,0,"Insect Swarm",,,,,,,,,,,,,,,,0xFF01FE,"Rank 1",,,,,,,,,,,,,,,,0xFF01FE,"The enemy target is swarmed by insects, decreasing their chance to hit by $s2% and causing $o1 Nature damage over $d.",,,,,,,,,,,,,,,,0xFF01FE,"Chance to hit with melee and ranged attacks decreased by $s2% and $s1 Nature damage every $t1 sec.",,,,,,,,,,,,,,,,0xFF01FE,8,133,1500,0,7,0x200000,0x0,0x0,0,1,1,0,1,1,1,0,0,0,0,0,0,8,0,0,0,0.200000002980232,1,0,0,0
5923,0,0,0,0x1D0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,0x0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0x0,0,0x0,101,0x0,0,0,0,21,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0x0,0,0,0,0x0,0x0,2,0,0,0,0,0,0,0,0,0,0x0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,1824,0,50,"Holy Power",,,,,,,,,,,,,,,,0xFF01FE,"Rank 1",,,,,,,,,,,,,,,,0xFF01FE,"Increases the critical effect chance of your Holy spells by $s1%.",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,0,0,0,0,0x0,0x0,0x0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
5924,0,0,0,0x1D0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,0x0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0x0,0,0x0,101,0x0,0,0,0,21,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0x0,0,0,0,0x0,0x0,2,0,0,0,0,0,0,0,0,0,0x0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,1824,0,50,"Holy Power",,,,,,,,,,,,,,,,0xFF01FE,"Rank 2",,,,,,,,,,,,,,,,0xFF01FE,"Increases the critical effect chance of your Holy spells by $s1%.",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,0,0,0,0,0x0,0x0,0x0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
5925,0,0,0,0x1D0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,0x0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0x0,0,0x0,101,0x0,0,0,0,21,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,6,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0x0,0,0,0,0x0,0x0,2,0,0,0,0,0,0,0,0,0,0x0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,1824,0,50,"Holy Power",,,,,,,,,,,,,,,,0xFF01FE,"Rank 3",,,,,,,,,,,,,,,,0xFF01FE,"Increases the critical effect chance of your Holy spells by $s1%.",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,0,0,0,0,0x0,0x0,0x0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
5926,0,0,0,0x1D0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,0x0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0x0,0,0x0,101,0x0,0,0,0,21,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,6,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0x0,0,0,0,0x0,0x0,2,0,0,0,0,0,0,0,0,0,0x0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,1824,0,50,"Holy Power",,,,,,,,,,,,,,,,0xFF01FE,"Rank 4",,,,,,,,,,,,,,,,0xFF01FE,"Increases the critical effect chance of your Holy spells by $s1%.",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,0,0,0,0,0x0,0x0,0x0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
5952,0,0,0,0x400D0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,0x0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0x0,0,0x55510,50,0x0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,6,6,0,1,1,0,0,0,0,1,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,107,42,0,0,0,0,0,0,0,0x0,0,0,0,0x0,0x0,5,0,0,0,0,0,0,51680,0,0,0x0,0,0x1,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,2910,0,0,"Throwing Specialization",,,,,,,,,,,,,,,,0xFF01FE,"Rank 1",,,,,,,,,,,,,,,,0xFF01FE,"Increases the range of Throw and Deadly Throw by $s1 yards and gives your Deadly Throw a $h% chance to interrupt the target for $51680d.",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,0,0,0,8,0x0,0x0,0x0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
